Job Title,Location,Vacancy Type,Positions Available,Reference Number
Product Assemblers,POORAKA SA,Casual,1,267662
Product Assemblers,ELIZABETH SA,Casual,2,274548
Product Assemblers,NEWTON SA,Casual,1,274152
Product Assemblers,PORT MELBOURNE VIC,Casual,30,273237
Product Assemblers,CAVAN SA,Casual,10,273248
Product Assemblers,INGLEBURN NSW,Casual,5,272800
Product Assemblers,TULLAMARINE VIC,P/T <35 hours,10,268634
Product Assemblers,GEELONG NORTH VIC,Casual,4,267295
Public Relations Professionals,WHYALLA NORRIE SA,Casual,4,272533
Purchasing and Supply Logistics Clerks,GEELONG NORTH VIC,Casual,1,274681
Receptionist,GEELONG VIC,P/T <35 hours,4,269988
Receptionists,PORT AUGUSTA SA,Casual,1,273791
Receptionists,MELROSE PARK SA,Casual,1,273506
Receptionists,EDWARDSTOWN SA,Casual,1,273526
Receptionists,WHYALLA NORRIE SA,Casual,1,272608
Removalist,SALT ASH NSW,Casual,1,273701
Residential Support Worker,MERRIWA WA,Casual,5,270128
Retail / Sales Assistant,JOONDALUP WA,P/T <35 hours,1,274335
Retail / Sales Assistant,PORT AUGUSTA SA,Casual,3,273741
Retail / Sales Assistant,PORT AUGUSTA SA,Casual,5,273329
Retail / Sales Assistant,ROCKINGHAM WA,Casual,1,273137
Retail Managers,WHYALLA NORRIE SA,Casual,1,274346
Retail Managers,WHYALLA NORRIE SA,Casual,1,272426
Rigger,BIBRA LAKE WA,Casual,5,273761
Rigger,PORT PIRIE SA,Casual,2,273698
Rigger,PERTH WA,Casual,10,269644
Road Traffic Controllers,MUSWELLBROOK NSW,F/T 35 hours+,4,274777
Road Traffic Controllers,MIDVALE WA,P/T <35 hours,1,262155
Roof Tiler,FREMANTLE WA,Casual,1,273767
Safety Officer,MELBOURNE VIC,P/T <35 hours,1,274702
Safety Officer,WHYALLA SA,Casual,1,273769
Sales Assistants (General),WHYALLA NORRIE SA,Casual,1,273562
Sales Assistants (General),WHYALLA NORRIE SA,Casual,6,273508
Sales Assistants (General),WHYALLA NORRIE SA,Casual,1,273518
Sales Assistants (General),WHYALLA NORRIE SA,Casual,1,273561
Sales Assistants (General),WHYALLA NORRIE SA,Casual,11,270723
Sales Assistants (General),PERTH WA,Casual,5,272034
Sales Assistants (General),PORT AUGUSTA SA,Casual,5,272825
Sales Assistants (General),ELIZABETH SA,Casual,1,272713
Sales Assistants (General),WHYALLA STUART SA,Casual,1,272619
Sales Assistants (General),MAITLAND NSW,Casual,2,272431
Sales Assistants (General),WHYALLA NORRIE SA,Casual,12,272428
Sales Assistants and Salespersons,BALCATTA WA,Casual,3,274332
Sales Assistants and Salespersons,WHYALLA STUART SA,Casual,1,273173
Sales Assistants and Salespersons,WHYALLA STUART SA,Casual,1,273172
Sales Assistants and Salespersons,PORT AUGUSTA SA,Casual,1,272933
Sales Assistants and Salespersons,PORT AUGUSTA SA,Casual,10,272939
Sales Assistants and Salespersons,WHYALLA NORRIE SA,Casual,12,272402
Sales Assistants and Salespersons,POORAKA SA,Casual,1,272231
Sales Representatives,BRIGHTON SA,Casual,1,274137
Sales Representatives,SANDGATE NSW,F/T 35 hours+,1,273288
Scaffolder,WHYALLA SA,Casual,4,273728
Scaffolder,PERTH WA,Casual,5,269464
Secretaries,ADELAIDE SA,Casual,1,273035
Security Officers,ADELAIDE SA,Casual,60,268126
Security Officers and Guards,GLENGOWRIE SA,Casual,1,274566
Security Officers and Guards,MELBOURNE VIC,P/T <35 hours,5,274314
Security Officers and Guards,FREELING SA,Casual,10,274290
Security Officers and Guards,PORT ADELAIDE SA,Casual,3,270505
Security Officers and Guards,WHYALLA SA,Casual,1,273772
Security Officers and Guards,WOODVILLE SA,Casual,1,273557
Security Officers and Guards,MUSWELLBROOK NSW,F/T 35 hours+,4,273707
Security Officers and Guards,HENLEY BEACH SA,Casual,1,259201
Security Officers and Guards,ADELAIDE SA,Casual,7,272958
Security Officers and Guards,ADELAIDE SA,P/T <35 hours,44,260656
Security Officers and Guards,UNLEY BC SA,Casual,2,272223
Security Officers and Guards,ADELAIDE SA,Casual,3,264991
Security Officers and Guards,ELIZABETH SOUTH SA,Casual,1,261579
Service Station Attendants,LARGS BAY SA,Casual,1,274637
Service Station Attendants,PORT LINCOLN SA,Casual,13,256591
Sewing Machinists,CABRAMATTA NSW,P/T <35 hours,9,248729
Sheet Metal Worker,PERTH WA,F/T 35 hours+,1,273154
Sheetmetal Trades Workers,TORRENSVILLE SA,Casual,1,273839
Sheetmetal Trades Workers,WOODVILLE SA,Casual,1,273781
Shelf Fillers,GLENFIELD WA,Casual,6,273165
Special Care Workers,SALISBURY SA,Casual,1,274868
Special Care Workers,ADELAIDE SA,Casual,1,271695
Special Care Workers,PORT AUGUSTA SA,Casual,5,272745
Special Care Workers,PARADISE SA,Casual,1,272633
Special Care Workers,OLD NOARLUNGA SA,Casual,5,270131
Special Care Workers,MODBURY SA,Casual,12,268319
Special Care Workers,EDWARDSTOWN SA,Casual,5,256374
Spray Painter (Industrial),NAVAL BASE WA,Casual,5,274175
Spray Painter (Industrial),BIBRA LAKE WA,Casual,2,273759
Stationary Plant Operators,PORT AUGUSTA SA,Casual,20,274717
Steel Fixers,PERTH WA,F/T 35 hours+,1,273245
Storepersons,LOBETHAL SA,Casual,1,274849
Storepersons,BEVERLEY SA,Casual,1,274712
Storepersons,TRUGANINA VIC,Casual,33,272016
Storepersons,WINGFIELD SA,Casual,1,273771
Storepersons,KILBURN SA,Casual,1,274557
Storepersons,WOODVILLE SA,Casual,1,270180
Storepersons,WOODVILLE SA,Casual,1,270181
Storepersons,LONSDALE SA,Casual,1,274318
Storepersons,FAIRFIELD EAST NSW,Casual,4,265127
Storepersons,PERTH WA,Casual,20,269958
Storepersons,BASSENDEAN WA,Casual,1,274125
Storepersons,PERTH AIRPORT WA,Casual,2,273821
Storepersons,LARGS BAY SA,Casual,1,273864
Storepersons,ADELAIDE SA,Casual,1,263572
Storepersons,WEBBERTON WA,Casual,1,273757
Storepersons,REGENCY PARK SA,Casual,2,273537
Storepersons,EDINBURGH SA,Casual,1,272847
Storepersons,MULGRAVE VIC,Casual,5,272935
Storepersons,MOOREBANK NSW,Casual,47,262330
Storepersons,POORAKA SA,Casual,1,268071
Storepersons,EDINBURGH SA,Casual,1,272437
Structural Steel and Welding Trades Workers,WHYALLA SA,Casual,2,274835
Structural Steel and Welding Trades Workers,BRANXTON NSW,F/T 35 hours+,2,274666
Structural Steel and Welding Trades Workers,RUTHERFORD NSW,Casual,3,274128
Structural Steel and Welding Trades Workers,ROYAL PARK SA,Casual,1,273737
Structural Steel and Welding Trades Workers,HENDON SA,Casual,2,273699
Structural Steel and Welding Trades Workers,LONSDALE SA,Casual,1,272963
Structural Steel and Welding Trades Workers,MOUNT THORLEY NSW,Casual,1,272711
Structural Steel and Welding Trades Workers,MANDURAH WA,Casual,1,272595
Structural Steel and Welding Trades Workers,WHYALLA SA,Casual,6,270067
Structural Steel and Welding Trades Workers,WHYALLA SA,Casual,2,261309
Structural Steel Construction Workers,MELBOURNE VIC,F/T 35 hours+,3,274266
Structural Steel Construction Workers,BERESFIELD NSW,F/T 35 hours+,2,273710
Structural Steel Construction Workers,PORT NOARLUNGA SA,Casual,1,273057
Survey Interviewers,HALLETT COVE SA,Casual,20,268337
Technicians and Trades Workers,SYDNEY NSW,F/T 35 hours+,100,274116
Technicians and Trades Workers,EDINBURGH SA,Casual,10,266711
Technicians and Trades Workers,TAMALA PARK WA,Casual,3,273322
Trades Assistant,OSBORNE SA,Casual,1,274323
Trades Assistant,PORT AUGUSTA SA,Casual,9,274345
Trades Assistant,SOMERTON PARK SA ,Casual,1,274121
Trades Assistant,PERTH WA,Casual,10,272237
Trades Assistant,PERTH WA,Casual,10,269463
Traffic Controller,SOUTH MELBOURNE VIC,Casual,5,274549
Traffic Controller,MELBOURNE VIC,Casual,10,273718
Truck Drivers,CAVAN SA,Casual,1,273300
Truck Drivers,MUSWELLBROOK NSW,Casual,2,270487
Truck Drivers,SALISBURY SA,Casual,1,274553
Truck Drivers,DANDENONG VIC,P/T <35 hours,1,274284
Truck Drivers,GRETA NSW,Casual,1,273548
Truck Drivers,WHYALLA SA,Casual,1,273704
Truck Drivers,WHYALLA SA,Casual,3,273520
Truck Drivers,DRY CREEK SA,Casual,1,273521
Truck Drivers,MALAGA WA,Casual,1,273531
Truck Drivers,TORONTO NSW,F/T 35 hours+,2,270793
Truck Drivers,ADELAIDE SA,Casual,1,273034
Truck Drivers,SALISBURY SOUTH SA,Casual,1,272945
Truck Drivers,PORT AUGUSTA SA,Casual,3,265810
Truck Drivers,KEWDALE WA,Casual,1,272593
Truck Drivers,Belmont Vic,F/T 35 hours+,2,242984
Truck Drivers,WINGFIELD SA,Casual,2,271780
Truck Drivers,ADELAIDE SA,Casual,1,272448
Truck Drivers,LIPSON SA,Casual,5,262215
Truck Drivers (General),SOMERVILLE VIC,P/T <35 hours,1,274541
Truck Drivers (General),FORRESTFIELD WA,Casual,5,273762
Truck Drivers (General),BOORAGOON WA,Casual,3,271641
Truck Drivers (General),GREENOCK SA,F/T 35 hours+,1,272511
Tyre fitter,BALCATTA WA,Casual,15,274683
Tyre fitter,MALAGA WA,Casual,15,274683
Tyre fitter,MANDURAH WA,Casual,15,274683
Tyre fitter,MELVILLE WA,Casual,15,274683
Tyre fitter,MIDLAND WA,Casual,15,274683
Tyre fitter,OSBORNE PARK WA,Casual,15,274683
Tyre fitter,ROCKINGHAM WA,Casual,15,274683
Vehicle Painters,PORT LINCOLN SA,F/T 35 hours+,1,272642
Waiters,ADELAIDE SA,Casual,1,267263
Waiters,HILTON SA,Casual,1,273887
Waiters,GERALDTON WA,Casual,4,273819
Waiters,POKOLBIN NSW,Casual,1,273717
Waiters,CROYDON SA,Casual,1,272949
Waiters,BANKSTOWN NSW,Casual,50,272534
Waiters,WHYALLA SA,Casual,6,267872
Warehouse Assistant,DANDENONG VIC,F/T 35 hours+,4,274850
Warehouse Assistant,GEELONG VIC,Casual,1,274263
Warehouse Assistant,BOTANY NSW,Casual,20,262116
Warehouse Assistant,DERRIMUT VIC,P/T <35 hours,10,268632
Welder - Mig,WELSHPOOL WA,Casual,1,273140
